OPERATION_PRODUCT,OPERATION_ID,EMPLOYEE_ID,MACHINE_CODE,SHIFT,HOUR,OT_FLAG,PLANED_QUANTITY,PM_EMPLOYEE_ID,IS_SCRAP
B0Y17728.BLANK_2_HOLES_PIERCE,O0089,E1036,PP02,General,2,0,372,E1043,1
B0Y17723.BLANK,O0019,E1036,PP02,General,3,0,728,E1043,0
FD203113.BLANK,O0019,E1036,PP02,General,4,0,576,E1043,0
FD203213.BLANK,O0019,E1036,PP02,General,5,0,576,E1043,0
B5437305-F2866313.FOLD,O0037,E1035,HP02,General,2,0,504,E1043,0
B5437304-F2866213.U_FOLD,O0096,E1035,HP02,General,3,0,380,E1043,0
B5437305-F2866313.U_FOLD,O0096,E1035,HP02,General,4,0,380,E1043,1
9254916692.NOTCH,O0051,E1032,MP01,General,1,0,83,E1043,0
9259076592.BLANK,O0019,E1024,BL01,General,2,0,1150,E1024,0
9253920415.DEBUR,O0026,E1024,DB01,General,1,0,786,E1024,0
9254916692.CO2_WELD,O0021,E1059,MIG04,General,1,0,420,E1060,1
B0Y18711.SPOT_WELD,O0068,E1059,MIG04,General,2,0,420,E1010,0
B0Y18722.SPOT_WELD,O0068,E1059,MIG04,General,3,0,420,E1010,0
9259076592.ROBOT_CO2_WELD,O0060,E1024,ROW2,General,1,0,500,E1060,0
9259076592.ROBOT_CO2_WELD,O0060,E1024,ROW2,General,2,0,500,E1060,0
9259076592.ROBOT_CO2_WELD,O0060,E1024,ROW2,General,3,0,500,E1010,1
9253920206.1ST_DRAW,O0002,E1011,PP09,General,1,0,269,E1043,0
9253920206.2ND_DRAW,O0003,E1011,PP10,General,2,0,269,E1043,0
9253920206.LIP_FORM,O0050,E1011,PP12,General,4,0,269,E1043,0
9253920206.TOP_HOLES_PIERCE,O0070,E1011,PP13,General,5,0,269,E1043,0
9253920206.LETTER_PUNCH,O0049,E1030,PP08,General,6,0,269,E1043,0
FD203213.FORM,O0041,E1032,PP03,General,2,0,576,E1043,0
9253920206.DEBUR,O0026,E1030,DB01,General,1,0,269,E1043,0
100262820.CURL,O0025,E1059,MIG05,General,1,0,1000,E1010,0
B5503207.SPOT_WELD,O0068,E1052,SW01,General,1,0,290,E1010,0
F2860713.CO2_WELD,O0021,E1056,MIG03,General,1,0,1590,E1010,1
9254916692.3RD_DRAW,O0004,E1001,HP05,Second,1,0,100,E1043,0
9254916692.3RD_DRAW,O0004,E1001,HP05,Second,2,0,153,E1043,0
9259076592.1ST_DRAW,O0002,E057,PP09,General,1,0,206,E1010,0
9259076592.2ND_DRAW,O0003,E057,PP10,General,1,0,206,E1010,0
9259076592.2ND_DRAW,O0003,E057,PP10,General,2,0,1150,E1010,0
9259076592.TRIM,O0072,E057,PP11,General,1,0,206,E1010,1
